  chrom  gene
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
     1   AA
    
